genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7
G001462305	7	6.0	0.3175726532936096	0.020021310076117516	0.16517700254917145	0.09603117406368256	0.007147652097046375	0.06677082180976868	0.050544749945402145	0.3175726532936096	0.27673453092575073
G001462245	7	7.0	0.30915403366088867	0.05898558348417282	0.150323286652565	0.11324872076511383	0.05253655090928078	0.1480981856584549	0.051497116684913635	0.1161564514040947	0.30915403366088867
G001304035	5	4.0	0.25493741035461426	0.025025736540555954	0.14513590931892395	0.0447889044880867	0.05595387518405914	0.25493741035461426	0.1837497502565384	0.046953342854976654	0.24345511198043823
G000265075	2	2.0	0.4303661286830902	0.07554567605257034	0.05999114364385605	0.4303661286830902	0.03571060299873352	0.16625574231147766	0.018065322190523148	0.13543686270713806	0.07862846553325653
G000172555	6	6.0	0.45833921432495117	0.0064066313207149506	0.13236433267593384	0.15415698289871216	0.007450968958437443	0.12779395282268524	0.060499221086502075	0.45833921432495117	0.05298878252506256
G000166395	2	2.0	0.48508647084236145	0.16843396425247192	0.04903377592563629	0.48508647084236145	0.05591462925076485	0.11194657534360886	0.030893541872501373	0.04982532933354378	0.04886574298143387
G001642875	1	1.0	0.49309322237968445	0.010782298631966114	0.49309322237968445	0.0785009115934372	0.005172537639737129	0.047405075281858444	0.09796842187643051	0.2301178127527237	0.0369596928358078
G000402795	5	0.0	0.2138955295085907	0.2138955295085907	0.046045225113630295	0.16148342192173004	0.12537936866283417	0.11944914609193802	0.16092555224895477	0.028090836480259895	0.14473092555999756
G001800495	7	7.0	0.3234114348888397	0.008217573165893555	0.12501585483551025	0.11158295720815659	0.018938038498163223	0.27745258808135986	0.03820470720529556	0.09717689454555511	0.3234114348888397
G001780805	7	6.0	0.3209841251373291	0.003669407218694687	0.15769661962985992	0.06331884860992432	0.004032398574054241	0.1356968879699707	0.03828326240181923	0.3209841251373291	0.2763184905052185
G000402455	5	4.0	0.25453588366508484	0.1331365406513214	0.09009656310081482	0.1455424427986145	0.06700577586889267	0.25453588366508484	0.16745373606681824	0.04384499415755272	0.0983840823173523
G001601815	4	4.0	0.779600203037262	0.0015340278623625636	0.009311606176197529	0.1327778548002243	0.04067760333418846	0.779600203037262	0.007074553053826094	0.014848421327769756	0.014175706543028355
G000020625	4	4.0	0.3865016996860504	0.04874798282980919	0.12495753914117813	0.10054916888475418	0.012427551671862602	0.3865016996860504	0.06646081060171127	0.17420262098312378	0.08615270256996155
G000583875	0	0.0	0.8423452377319336	0.8423452377319336	0.018126068636775017	0.031823113560676575	0.01683998480439186	0.02166088856756687	0.015054557472467422	0.01853945292532444	0.035610638558864594
G900111145	2	2.0	0.6732478737831116	0.035767752677202225	0.01786700077354908	0.6732478737831116	0.08438976854085922	0.13805992901325226	0.011905246414244175	0.023584194481372833	0.015178276225924492
G900142915	3	4.0	0.533033549785614	0.0045024678111076355	0.028528127819299698	0.08100783824920654	0.29926228523254395	0.533033549785614	0.014896545559167862	0.01170731708407402	0.027061879634857178
G000171235	6	6.0	0.7608744502067566	0.0018946185009554029	0.1123749166727066	0.019660083577036858	0.0009991043480113149	0.020088694989681244	0.018897678703069687	0.7608744502067566	0.06521042436361313
G001824605	1	1.0	0.25341251492500305	0.08120469748973846	0.25341251492500305	0.10105478018522263	0.06654787808656693	0.1898837387561798	0.09164227545261383	0.06675025820732117	0.14950382709503174
G001610895	1	1.0	0.6533607244491577	0.0009651815053075552	0.6533607244491577	0.005982963368296623	0.000281284301308915	0.010345139540731907	0.02896871045231819	0.185707688331604	0.11438839137554169
